Status,Action needed,Product,Category,Photos,Price,Size of first photo,Edit link
"No photo","Shoot and upload: product shot, model shot, original","92.5 Pure Sterling Silver Gold Polish Lakshmi Bridal Jada Billa | Antique Temple Hair Accessory with Pearl Drops","Jewellery / Womens / BRIDAL SET","0","81149.97","","https://www.sreerasthusilvers.com/admin/products/Blo6EVzReQL6s6zMZM0y"
"No photo","Shoot and upload: product shot, model shot, original","92.5 Pure Silver Gold Polish Peacock Stud Earrings with CZ Stones","Jewellery / Womens / earrings","0","6100","","https://www.sreerasthusilvers.com/admin/products/48TfDoNsaWW9cirY2RF7"
"No photo","Shoot and upload: product shot, model shot, original","92.5 Pure Silver Gold-Plated Lakshmi  Clover Studs with CZ Accents","Jewellery / Womens / earrings","0","6000","","https://www.sreerasthusilvers.com/admin/products/hjyftSMsTLi0xcI1low9"
"No photo","Shoot and upload: product shot, model shot, original","decrease the size of the earrings a little bit small","Jewellery / Womens / earrings","0","6400","","https://www.sreerasthusilvers.com/admin/products/8QiGXV8MSVrQ3xIlB68P"
"No photo","Shoot and upload: product shot, model shot, original","oyal Goddess Lakshmi CZ Encrusted Chand-Style & pearl drop Earrings with Star Stud","Jewellery / Womens / earrings","0","15200","","https://www.sreerasthusilvers.com/admin/products/IIXK0lH5PnBlwbODcBC6"
"No photo","Shoot and upload: product shot, model shot, original","Blossom Branch Ear Climbers – 92.5 Pure Sterling Silver in Gold Polish","Jewellery / Womens / kaans","0","3400","","https://www.sreerasthusilvers.com/admin/products/TE35wmzhSNyxNOLsyEQF"
"No photo","Shoot and upload: product shot, model shot, original","92.5 Sterling Silver Sapphire Blue Teardrop Necklace Set with Bracelet & Ring","Jewellery / Womens / Necklace","0","19300","","https://www.sreerasthusilvers.com/admin/products/KXTukFsUokue83BSgrPQ"
"No photo","Shoot and upload: product shot, model shot, original","Elegant Single Line Emerald Green CZ Silver Gold Polish Necklace","Jewellery / Womens / Necklace","0","8500","","https://www.sreerasthusilvers.com/admin/products/VtvHpOnjuIPU5Y93CDcz"
"No photo","Shoot and upload: product shot, model shot, original","Elite Rose Gold Polish Triple-Strand Collar Kante SetPendant","Jewellery / Womens / Necklace","0","18200","","https://www.sreerasthusilvers.com/admin/products/VScJOlPGYMrs4PPDtd3Z"
"No photo","Shoot and upload: product shot, model shot, original","Heritage Round Pearl beeds necklace Set","Jewellery / Womens / Necklace","0","38300","","https://www.sreerasthusilvers.com/admin/products/uj8uShOiWRYD07QIeQBb"
"No photo","Shoot and upload: product shot, model shot, original","Divine Grace 92.5 Sterling Silver Rudraksha Pendant","Jewellery / Womens / PENDENT","0","8200","","https://www.sreerasthusilvers.com/admin/products/YEMJmCJkHEOutkDdvvHo"
"No photo","Shoot and upload: product shot, model shot, original","92.5 Pure Silver Gold-Plated Flower Pendant Set with Ruby Pink Kemp and CZ Halo","Jewellery / Womens / PENDENT SET","0","19600","","https://www.sreerasthusilvers.com/admin/products/VvAuDtBKOmAaiBRNhnqL"
"No photo","Shoot and upload: product shot, model shot, original","92.5 Pure Silver Gold-Plated Minimalist Pendant Set with Classic White CZ Halo","Jewellery / Womens / PENDENT SET","0","3300","","https://www.sreerasthusilvers.com/admin/products/8gSxrmJjqnLQfpu2n7SV"
"No photo","Shoot and upload: product shot, model shot, original","92.5 Sterling Silver Rose Gold Bow Charm Necklace Set","Jewellery / Womens / Rose Gold Necklace","0","21000","","https://www.sreerasthusilvers.com/admin/products/YW1Cwn2T7Ej9HT1onEOs"
"No photo","Shoot and upload: product shot, model shot, original","Elegant Asymmetric Peach Floral CZ Silver Mesh Choker SetElegant Asymmetric Peach Floral CZ Silver Mesh Choker Set","Jewellery / Womens / stone necklace","0","30000","","https://www.sreerasthusilvers.com/admin/products/msZctqmOy3lvQKPN9Gwv"
"No photo","Shoot and upload: product shot, model shot, original","Royal Antique Silver Gold Polish Continuous Seated Lakshmi Haram with Emerald & Ruby Kemp.","Jewellery / Womens / Temple Haram","0","32399.99","","https://www.sreerasthusilvers.com/admin/products/lmJm9ynZfGnQreGXDpFW"
"No photo","Shoot and upload: product shot, model shot, original","Antique Style 92.5 Pure Silver Gold-Plated Necklace with Kemp Stones","Jewellery / Womens / temple necklace","0","22800","","https://www.sreerasthusilvers.com/admin/products/ae2sTb1l4G1mgL0pCzkh"
"No photo","Shoot and upload: product shot, model shot, original","Classic Lakshmi Motif Silver Gold Polish Festive Necklace","Jewellery / Womens / temple necklace","0","44500","","https://www.sreerasthusilvers.com/admin/products/YUfX0pVZ6HJHOldMQaX3"
"No photo","Shoot and upload: product shot, model shot, original","Classic Motif Silver Gold Polish Festive Necklace","Jewellery / Womens / temple necklace","0","20825","","https://www.sreerasthusilvers.com/admin/products/zrCnmXXqjHhBCKafIi8q"
"No photo","Shoot and upload: product shot, model shot, original","Majestic Nakshi Peacock Silver Antique Necklace with Ruby Drops","Jewellery / Womens / temple necklace","0","70000","","https://www.sreerasthusilvers.com/admin/products/EtfYCzD6TDi9imxtV2b3"
"No photo","Shoot and upload: product shot, model shot, original","Royal Floral CZ and Ruby Silver Choker with Gold Bead Drops","Jewellery / Womens / temple necklace","0","40700","","https://www.sreerasthusilvers.com/admin/products/NaklyYp3hphy71a4rQS2"
"No photo","Shoot and upload: product shot, model shot, original","Royal Lakshmi CZ Bridal Silver Necklace with Ruby Pink Beads","Jewellery / Womens / temple necklace","0","43000","","https://www.sreerasthusilvers.com/admin/products/LKyzxFIZ2i8U7YM4j10T"
"No photo","Shoot and upload: product shot, model shot, original","Royal Peacock Motif Antique Silver Necklace with Gold Bead Drops","Jewellery / Womens / temple necklace","0","42000","","https://www.sreerasthusilvers.com/admin/products/i6gElNmGSz05J8vaVNJZ"
"No photo","Shoot and upload: product shot, model shot, original","Statement Floral and Textured Gold Ball Silver Festive Necklace","Jewellery / Womens / temple necklace","0","70600","","https://www.sreerasthusilvers.com/admin/products/24yQiux3OlOU0AcaI3cM"
"No photo","Shoot and upload: product shot, model shot, original","Silver Ganesh","Others / artifacts / pooja items","0","5500","","https://www.sreerasthusilvers.com/admin/products/UkXoVieP1k8ajoKCqIGV"
"Low resolution","Only 447x447 - replace with a full-size shot","999 Pure Silver Clad Wooden Box with Royal Elephants","Gifting / artifacts / dry fruit box","1","17500","447x447","https://www.sreerasthusilvers.com/admin/products/NSmoXgQcNyuNhHDrEzU2"
"One photo only","Add the model shot, then the original","92.5 Sterling Silver Ring with Black Enamel Inlay","Jewellery / Mens / rings","1","2500","2048x2048","https://www.sreerasthusilvers.com/admin/products/ArBF1MUpuPI8xLMZiKJd"
"One photo only","Add the model shot, then the original","Imperial Stone Cluster 92.5 Sterling Silver Statement Ring","Jewellery / Mens / rings","1","2600","2048x2048","https://www.sreerasthusilvers.com/admin/products/AJJBa6yVKPm4yI5FMFiy"
"One photo only","Add the model shot, then the original","Two-Tone Rose Gold polish 92.5 Pure Sterling Silver Geometric Clover & Disc Payal Pair","Jewellery / Womens / anklets","1","7300","2048x2048","https://www.sreerasthusilvers.com/admin/products/iZQfs3N1IkG71vOclT7E"
"One photo only","Add the model shot, then the original","Antique Gold-Plated Lakshmi & Kalash Temple Bangles with Ruby Kemp Stone","Jewellery / Womens / BANGLES","1","24050","2048x2048","https://www.sreerasthusilvers.com/admin/products/q6Ks5wU0zbYGzPOcowzi"
"One photo only","Add the model shot, then the original","92.5 Pure Silver Gold-Plated Mangalsutra Set with Pink Teardrop Stone Pendant and Earrings","Jewellery / Womens / black beads","1","6000","2048x2048","https://www.sreerasthusilvers.com/admin/products/3NVWnLnaeDVIa3dZzo95"
"One photo only","Add the model shot, then the original","92.5 Pure Silver Rose Gold Tree of Life Black Beads Mangalsutra Set with Matching Earrings","Jewellery / Womens / black beads","1","12400","2048x2048","https://www.sreerasthusilvers.com/admin/products/iVm33dIUxxEQt7zd4fOi"
"One photo only","Add the model shot, then the original","Enchanted Nature Twin-Bird Black Beads 92.5 Pure Silver Gold-polish Mangalsutra","Jewellery / Womens / black beads","1","3500","2048x2048","https://www.sreerasthusilvers.com/admin/products/YBMU0YaGciIn2Lrm1tGV"
"One photo only","Add the model shot, then the original","Shimmering Graduating Silver Globes Black Beads 92.5 Pure Silver","Jewellery / Womens / black beads","1","9300","2048x2048","https://www.sreerasthusilvers.com/admin/products/mCObLrDwpur7V9tdhasa"
"One photo only","Add the model shot, then the original","Shimmering Graduating Silver Globes Black Beads 92.5 Pure Silver","Jewellery / Womens / black beads","1","4100","2048x2048","https://www.sreerasthusilvers.com/admin/products/mTgFQYHHE9t0kKX9UT5p"
"One photo only","Add the model shot, then the original","Shimmering Pear-Cut Charm Black Beads 92.5 Pure Silver gold polish Festive Necklace","Jewellery / Womens / black beads","1","5400","2048x2048","https://www.sreerasthusilvers.com/admin/products/1Yn0HB9VuvQ4MEKm08tc"
"One photo only","Add the model shot, then the original","Royal Temple Style Emerald Bead & Pearl Cluster Hanging Jhumkis","Jewellery / Womens / earrings","1","12350","2048x2048","https://www.sreerasthusilvers.com/admin/products/YDoy9dTqIAdZ0fijj0QZ"
"One photo only","Add the model shot, then the original","92.5 Pure Silver Gold-Plated Open Heart & Halo CZ Ladies Kada | Adjustable Designer Bracelet","Jewellery / Womens / kada","1","7700","2048x2048","https://www.sreerasthusilvers.com/admin/products/kFWcRJfi1wIICF8rRxqH"
"One photo only","Add the model shot, then the original","Antique Silver Mahadev Tripundra Spear Statement Talisman Pendant","Jewellery / Womens / PENDENT","1","3100","2048x2048","https://www.sreerasthusilvers.com/admin/products/25hgTvFfQCSdsJhI7xjD"
"One photo only","Add the model shot, then the original","Classic Silver Gold Polish Nakshi Balaji Bar Pendant with Emerald & CZ Crescent Frame","Jewellery / Womens / PENDENT","1","4000","2048x2048","https://www.sreerasthusilvers.com/admin/products/D9eFcjCYYVdX9MYZweyu"
"One photo only","Add the model shot, then the original","Majestic Diamond-Cut CZ Curved Silver Gold Polish Pendant with Emerald Clusters","Jewellery / Womens / PENDENT","1","9000","2048x2048","https://www.sreerasthusilvers.com/admin/products/RxgM6kNlsLNhx0va79JR"
"One photo only","Add the model shot, then the original","Imperial Grace Oval Cut American Diamond Broad Band 925 Silver Statement Ring","Jewellery / Womens / Rings","1","3000","2048x2048","https://www.sreerasthusilvers.com/admin/products/B37hy2F8QzSks9uguah9"
"One photo only","Add the model shot, then the original","Modern Enamel Disc Necklace Set in 92.5 Sterling Silver with Rose Gold Polish","Jewellery / Womens / Rose Gold Necklace","1","10500","2048x2048","https://www.sreerasthusilvers.com/admin/products/KEK5TFwVV5BzyfchxFgk"
"One photo only","Add the model shot, then the original","Brilliant Pear-Drop CZ Silver Gold Polish Necklace","Jewellery / Womens / stone necklace","1","24700","2048x2048","https://www.sreerasthusilvers.com/admin/products/ETyq56t0EpNhVtTkRzOw"
"One photo only","Add the model shot, then the original","92.5 Pure Silver Gold Polish Haram Divine Lord Venkateshwara Gold Plated Haram","Jewellery / Womens / Temple Haram","1","18899.98","2048x2048","https://www.sreerasthusilvers.com/admin/products/odHKJs8B1tTj7CjBJfV7"
"One photo only","Add the model shot, then the original","Grand Divine Lakshmi Ghungroo Drop Silver Gold-Plated Long Haram","Jewellery / Womens / Temple Haram","1","51900","2048x2048","https://www.sreerasthusilvers.com/admin/products/ftQTppP9CuJpfkWkX3Zd"
"One photo only","Add the model shot, then the original","Divine Lakshmi CZ Silver gold polish Necklace with Emerald Green Beads","Jewellery / Womens / temple necklace","1","21550","2048x2048","https://www.sreerasthusilvers.com/admin/products/n6krItlBEGMt7dDP2Gd3"
"One photo only","Add the model shot, then the original","Royal Mayura Motif CZ Studded Long Festive Silver nacklace","Jewellery / Womens / temple necklace","1","20600","2048x2048","https://www.sreerasthusilvers.com/admin/products/HddtJhrnmyyZysTzZwh2"
"One photo only","Add the model shot, then the original","Roxerina 92.5 Sterling Silver Full Iced Out Watch – Gold Plated Pave Link Design","Jewellery / Womens / watches","1","30000","2048x2048","https://www.sreerasthusilvers.com/admin/products/tClnH2ELSk0uwEtYyTwE"
"Two photos","Add the third photo if one exists","92.5 Sterling Silver Men's Geometric Pyramid Link Bracelet with Stone Accents","Jewellery / Mens / bracelets","2","14700","2048x2048","https://www.sreerasthusilvers.com/admin/products/ssDDKuIxXT7QsTKiaNpb"
"Two photos","Add the third photo if one exists","92.5 Pure Silver Alternating Gold & Silver Polish Textured Neck Chain","Jewellery / Mens / chains","2","24800","2048x2048","https://www.sreerasthusilvers.com/admin/products/qou88Tg3ViS5bh7MgcTb"
"Two photos","Add the third photo if one exists","Royal Silver Gold Polish Lord Venkateshwara (Balaji) Puligoru Pendant","Jewellery / Mens / pendents","2","14650","2048x2048","https://www.sreerasthusilvers.com/admin/products/gNMNw3XZpTxkwZmqcLQE"
"Two photos","Add the third photo if one exists","Imperial Stone Cluster 92.5 Sterling Silver Statement Ring","Jewellery / Mens / rings","2","2600","2048x2048","https://www.sreerasthusilvers.com/admin/products/bA6mG3R6cQn4o6noCN2V"
"Two photos","Add the third photo if one exists","92.5 Pure Sterling Silver Multi-Shape Station Payal Pair","Jewellery / Womens / anklets","2","15900","2048x2048","https://www.sreerasthusilvers.com/admin/products/4ZHMsiwMjbxFE14KPBFg"
"Two photos","Add the third photo if one exists","92.5 Pure Silver Black Beads Mangalsutra Chain with CZ Diamond Pendant for Women","Jewellery / Womens / black beads","2","3600","2048x2048","https://www.sreerasthusilvers.com/admin/products/1qGkTTHhlZtpBolAZg9U"
"Two photos","Add the third photo if one exists","92.5 Pure Silver Black Beads Mangalsutra for Women | Gold Finish Pearl Bead Designer Daily Wear Mangalsutra","Jewellery / Womens / black beads","2","3600","2048x2048","https://www.sreerasthusilvers.com/admin/products/t1BRbgyTmjWjd21Z8ONM"
"Two photos","Add the third photo if one exists","92.5 Pure Silver Black Beads Mangalsutra for Women | Traditional Gold Finish Designer","Jewellery / Womens / black beads","2","3600","2048x2048","https://www.sreerasthusilvers.com/admin/products/OLSxc7UvWlTsV2GGtRZR"
"Two photos","Add the third photo if one exists","92.5 Pure Silver Designer Black Beads Mangalsutra Necklace with Heart Pendant for Women","Jewellery / Womens / black beads","2","8800","2048x2048","https://www.sreerasthusilvers.com/admin/products/JT3f22fceCc8fe4TlcXd"
"Two photos","Add the third photo if one exists","92.5 Pure Silver Rose Gold Black Beads Mangalsutra Set with Floral CZ Pendant & Matching Earrings","Jewellery / Womens / black beads","2","14800","2048x2048","https://www.sreerasthusilvers.com/admin/products/2TsMfC7UisLZR5YGHEv7"
"Two photos","Add the third photo if one exists","92.5 Pure Sterling Silver Gold-Plated Mangalsutra with Curved Crystal Circle Pendant","Jewellery / Womens / black beads","2","4000","2048x2048","https://www.sreerasthusilvers.com/admin/products/KYRfOFCupRf6iSHKBBPy"
"Two photos","Add the third photo if one exists","Divine Goddess Lakshmi Temple Pendant 92.5 Sterling Silver Gold-Polished Mangalsutra","Jewellery / Womens / black beads","2","5500","2048x2048","https://www.sreerasthusilvers.com/admin/products/TcUuYXaXDYBBfOIdvqQH"
"Two photos","Add the third photo if one exists","Shimmering Crown & Hoop Double-Circle Black Beads 92.5 Pure Silver Gold-Polished Mangalsutra","Jewellery / Womens / black beads","2","3500","2048x2048","https://www.sreerasthusilvers.com/admin/products/IiN9SB56JxUgjNQBdQDs"
"Two photos","Add the third photo if one exists","Shimmering Pear-Cut Double Layer Black Beads 92.5 Pure Silver mangalsutra","Jewellery / Womens / black beads","2","5000","2048x2048","https://www.sreerasthusilvers.com/admin/products/lJz14FgSLnMPenDcv3St"
"Two photos","Add the third photo if one exists","92.5 Pure Silver Heartbeat Heart Charm Chain Necklace","Jewellery / Womens / chains","2","1900","2048x2048","https://www.sreerasthusilvers.com/admin/products/CmOfSGyhecKVxLiCtr2u"
"Two photos","Add the third photo if one exists","Shimmering Liquid-Gold Sari Chain with Ruby & CZ peacock Side-Brooch","Jewellery / Womens / chains","2","10600","2048x2048","https://www.sreerasthusilvers.com/admin/products/YZ3NshYr1OXprTX8nTbC"
"Two photos","Add the third photo if one exists","92.5 Pure Silver Gold-Plated Clover Studs with Ruby Pink Kemp and CZ Accents","Jewellery / Womens / earrings","2","3650","2048x2048","https://www.sreerasthusilvers.com/admin/products/cTaryIpEWSBPUxf4VV1N"
"Two photos","Add the third photo if one exists","92.5 Pure Silver Gold-Plated Clover Studs with Ruby Pink Kemp and CZ Accents","Jewellery / Womens / earrings","2","4001","2048x2048","https://www.sreerasthusilvers.com/admin/products/jdbDXZLXr1h55mwlTSD9"
"Two photos","Add the third photo if one exists","92.5 Pure Sterling Silver Gold-Plated Geometric Drop Stud Earrings | CZ & Emerald Stone Designer Earrings for Women","Jewellery / Womens / earrings","2","2100","2048x2048","https://www.sreerasthusilvers.com/admin/products/OjdAPFOa1KxQ0elt0wy6"
"Two photos","Add the third photo if one exists","92.5 Pure Sterling Silver Gold-Plated Ruby CZ Jhumka Earrings | Traditional Designer Jhumkas for Women","Jewellery / Womens / earrings","2","6500","2048x2048","https://www.sreerasthusilvers.com/admin/products/qQQdmY83qAeYKLYvfE0I"
"Two photos","Add the third photo if one exists","92.5 Pure Sterling Silver Mother-of-Pearl Floral Stud Earrings | CZ & Pearl Designer Earrings for Women","Jewellery / Womens / earrings","2","3900","2048x2048","https://www.sreerasthusilvers.com/admin/products/H5eaiXyuGK7xkkbg1Rqe"
"Two photos","Add the third photo if one exists","Divine Leaf Motif Carved Nakshi Silver Jhumka Earrings","Jewellery / Womens / earrings","2","10500","2048x2048","https://www.sreerasthusilvers.com/admin/products/BoTi7Yd8YT14JycJR06k"
"Two photos","Add the third photo if one exists","Divine Teardrop Ruby Stud Nakshi Silver Jhumka Earrings","Jewellery / Womens / earrings","2","13600","2048x2048","https://www.sreerasthusilvers.com/admin/products/OxI9zm46DRcPbEvS9P5f"
"Two photos","Add the third photo if one exists","Divine Teardrop Ruby Stud Nakshi Silver Jhumka Earrings","Jewellery / Womens / earrings","2","13199.98","2048x2048","https://www.sreerasthusilvers.com/admin/products/tiGFxJ0Pl30uBnAHrq81"
"Two photos","Add the third photo if one exists","Gold Polish Twin Peacock Silver Earrings with Pearl Clusters","Jewellery / Womens / earrings","2","7100","2048x2048","https://www.sreerasthusilvers.com/admin/products/0CE04VRgLZOT9dSpf7CL"
"Two photos","Add the third photo if one exists","Heritage Antique Circular Gold Polish Studs with Emerald Green Stone","Jewellery / Womens / earrings","2","5950","2048x2048","https://www.sreerasthusilvers.com/admin/products/N4XUnrARBZsFgyQKYNNJ"
"Two photos","Add the third photo if one exists","Heritage Emerald & CZ Filigree Ear Studs with Pearl Droplets","Jewellery / Womens / earrings","2","9200","2048x2048","https://www.sreerasthusilvers.com/admin/products/GoglsZFdBTq9WbA33243"
"Two photos","Add the third photo if one exists","Pastel Royalty in Premium Rose Gold Polish","Jewellery / Womens / earrings","2","4150","2048x2048","https://www.sreerasthusilvers.com/admin/products/LzBTmH2Fazjaexduv6Vc"
"Two photos","Add the third photo if one exists","Silver Gold Polish Lakshmi Temple Earrings with CZ Frame","Jewellery / Womens / earrings","2","13400","1800x1800","https://www.sreerasthusilvers.com/admin/products/13kdOi4DKtBjpxGNV0XZ"
"Two photos","Add the third photo if one exists","The Enamel Hummingbird & Blossom Earrings ✨","Jewellery / Womens / earrings","2","4800","2048x2048","https://www.sreerasthusilvers.com/admin/products/ncdpfLXrqIwSPxBnvOgm"
"Two photos","Add the third photo if one exists","Traditional Kemp & Pearl Floral Square Tops – 92.5 Sterling Silver","Jewellery / Womens / earrings","2","6400","2048x2048","https://www.sreerasthusilvers.com/admin/products/KTfMvWGi2C3qbOacTd9O"
"Two photos","Add the third photo if one exists","Traditional Kemp & Pearl Floral Square Tops – 92.5 Sterling Silver","Jewellery / Womens / earrings","2","6400","2048x2048","https://www.sreerasthusilvers.com/admin/products/Mc2IXsJ0fNqMDEeSOTJa"
"Two photos","Add the third photo if one exists","Vintage Floral Halo Princess-Cut Zirconia Studs in 92.5 Sterling Silver","Jewellery / Womens / earrings","2","5400","2048x2048","https://www.sreerasthusilvers.com/admin/products/EqF1mDsxC6c1UASHeSEo"
"Two photos","Add the third photo if one exists","92.5 Pure Silver Gold Polish Minimalist Designer Kante Necklace | Elegant Daily Wear Silver Choker","Jewellery / Womens / kante","2","4500","2048x2048","https://www.sreerasthusilvers.com/admin/products/0HAIf8pvJBBTFFYboZWK"
"Two photos","Add the third photo if one exists","Elegant Rose Pink Stone & Pearl Floral Vine Silver Haram Set","Jewellery / Womens / Necklace","2","35100","2048x2048","https://www.sreerasthusilvers.com/admin/products/6Njdaf8akhRu6DmADaxy"
"Two photos","Add the third photo if one exists","Elegant Shell Flower Blossom Rose Gold Silver Choker Set","Jewellery / Womens / Necklace","2","10450","2048x2048","https://www.sreerasthusilvers.com/admin/products/8PsJUSliGbW9aMqF1KR9"
"Two photos","Add the third photo if one exists","Elegant Single Line CZ Infinity Scroll Chain Silver Gold-Plated necklace","Jewellery / Womens / Necklace","2","13500","2048x2048","https://www.sreerasthusilvers.com/admin/products/rib5fQLTkWvogNYxs49Y"
