priority,status,product,category,price,product_page,photo_source_folder,product_id
"REVIEW","NO PHOTOS","Handcrafted 999 Pure Silver Ashta Lakshmi Chowki on Wooden Base | Luxury Pooja & Vastu Mandir Artifact","artifacts / tulasi pot","12000","/product/88owGTYtx7wbZQKchlFD","","88owGTYtx7wbZQKchlFD"
"REVIEW","NO PHOTOS","Handcrafted 999 Pure Silver Radha Krishna Tulsi Vrindavan Shrine | Luxury Mandir Artifact on Wooden Base","artifacts / tulasi pot","8000","/product/gLd3DAEe55w82wAiMhF5","","gLd3DAEe55w82wAiMhF5"
"REVIEW","NO PHOTOS","Handcrafted 999 Pure Silver Tulsi Kota (Vrindavan) Idol on Polished Wooden Base | Luxury Mandir Artifact","artifacts / tulasi pot","6800","/product/yunbeE3PZWcnXBtK4kQj","","yunbeE3PZWcnXBtK4kQj"
"REVIEW","NO PHOTOS","92.5 Pure Sterling Silver Rudraksha Bracelet | Traditional Designer Silver Bracelet for Men","Mens / bracelets","33600","/product/YnMueSrouKq4ooosykfS","","YnMueSrouKq4ooosykfS"
"REVIEW","NO PHOTOS","pendent","Mens / pendents","7500","/product/30jSUpWRky76Zljt9rSr","","30jSUpWRky76Zljt9rSr"
"REVIEW","NO PHOTOS","92.5 Pure Silver Antique Gold Polish Screw bangles - Set of 2 with Goddess Lakshmi Engravings","Womens / BANGLES","37200","/product/JqMbOOcGsm1KVkzKCD37","","JqMbOOcGsm1KVkzKCD37"
"REVIEW","NO PHOTOS","92.5 Sterling Silver Alternating Gold & Rhodium Polish Bangles","Womens / BANGLES","19800","/product/w0rf1WYqmkBHz7aKytcP","","w0rf1WYqmkBHz7aKytcP"
"REVIEW","NO PHOTOS","Luxury  Gold Polish 92.5 Pure Silver Multi-Row Kemp Ruby Stone Bangles","Womens / BANGLES","29600","/product/JOrYEpCHuP08dSQPcLKT","","JOrYEpCHuP08dSQPcLKT"
"REVIEW","NO PHOTOS","92.5 Pure Sterling Silver Gold Polish Multicolor Beads Mala Necklace","Womens / beads mala","18700","/product/HiftPGOst04ZS3hknDLO","","HiftPGOst04ZS3hknDLO"
"REVIEW","NO PHOTOS","Classic Crimson Ruby Multi-Layered Fine Silver Festive Layering Mala","Womens / beads mala","23800","/product/6yFOgdTt2i5B6fP0pPGa","","6yFOgdTt2i5B6fP0pPGa"
"REVIEW","NO PHOTOS","92.5 Pure Silver Black Beads Mangalsutra Necklace with Blue Heart & CZ Leaf Design | Gold Polish","Womens / black beads","4200","/product/PyIyVOXewWjTvSqeCNsd","","PyIyVOXewWjTvSqeCNsd"
"REVIEW","NO PHOTOS","Divine balaji & Red Coral Double-Strand 92.5 Sterling Silver Gold-Polished Mangalsutra","Womens / black beads","8500","/product/5heLdWBeMMCXeNyyDbQT","","5heLdWBeMMCXeNyyDbQT"
"REVIEW","NO PHOTOS","92.5 Pure Sterling Silver Gold Polish Grand Lakshmi Bridal Haram Set | Antique Temple Jewellery with Ruby CZ Stones","Womens / BRIDAL SET","111000","/product/bnslUrEnnyP9fTuVcsR4","","bnslUrEnnyP9fTuVcsR4"
"REVIEW","NO PHOTOS","92.5 Pure Sterling Silver Gold Polish Grand Lakshmi Bridal Necklace Set | Antique Temple Haram with Coral Beads & Peacock Motifs","Womens / BRIDAL SET","235100","/product/6UxYKjaVPfistzBmMV5U","","6UxYKjaVPfistzBmMV5U"
"REVIEW","NO PHOTOS","92.5 Pure Sterling Silver Gold Polish Lakshmi Bridal Jada Billa | Antique Temple Hair Accessory with Pearl Drops","Womens / BRIDAL SET","81149.97","/product/Blo6EVzReQL6s6zMZM0y","","Blo6EVzReQL6s6zMZM0y"
"REVIEW","NO PHOTOS","92.5 Pure Silver Gold Polish Peacock Stud Earrings with CZ Stones","Womens / earrings","6100","/product/48TfDoNsaWW9cirY2RF7","","48TfDoNsaWW9cirY2RF7"
"REVIEW","NO PHOTOS","92.5 Pure Silver Gold-Plated Lakshmi  Clover Studs with CZ Accents","Womens / earrings","6000","/product/hjyftSMsTLi0xcI1low9","","hjyftSMsTLi0xcI1low9"
"REVIEW","NO PHOTOS","decrease the size of the earrings a little bit small","Womens / earrings","6400","/product/8QiGXV8MSVrQ3xIlB68P","","8QiGXV8MSVrQ3xIlB68P"
"REVIEW","NO PHOTOS","oyal Goddess Lakshmi CZ Encrusted Chand-Style & pearl drop Earrings with Star Stud","Womens / earrings","15200","/product/IIXK0lH5PnBlwbODcBC6","","IIXK0lH5PnBlwbODcBC6"
"REVIEW","NO PHOTOS","Blossom Branch Ear Climbers – 92.5 Pure Sterling Silver in Gold Polish","Womens / kaans","3400","/product/TE35wmzhSNyxNOLsyEQF","","TE35wmzhSNyxNOLsyEQF"
"REVIEW","NO PHOTOS","92.5 Sterling Silver Sapphire Blue Teardrop Necklace Set with Bracelet & Ring","Womens / Necklace","19300","/product/KXTukFsUokue83BSgrPQ","","KXTukFsUokue83BSgrPQ"
"REVIEW","NO PHOTOS","Elegant Single Line Emerald Green CZ Silver Gold Polish Necklace","Womens / Necklace","8500","/product/VtvHpOnjuIPU5Y93CDcz","","VtvHpOnjuIPU5Y93CDcz"
"REVIEW","NO PHOTOS","Elite Rose Gold Polish Triple-Strand Collar Kante SetPendant","Womens / Necklace","18200","/product/VScJOlPGYMrs4PPDtd3Z","","VScJOlPGYMrs4PPDtd3Z"
"REVIEW","NO PHOTOS","Heritage Round Pearl beeds necklace Set","Womens / Necklace","38300","/product/uj8uShOiWRYD07QIeQBb","","uj8uShOiWRYD07QIeQBb"
"REVIEW","NO PHOTOS","Divine Grace 92.5 Sterling Silver Rudraksha Pendant","Womens / PENDENT","8200","/product/YEMJmCJkHEOutkDdvvHo","","YEMJmCJkHEOutkDdvvHo"
"REVIEW","NO PHOTOS","92.5 Pure Silver Gold-Plated Flower Pendant Set with Ruby Pink Kemp and CZ Halo","Womens / PENDENT SET","19600","/product/VvAuDtBKOmAaiBRNhnqL","","VvAuDtBKOmAaiBRNhnqL"
"REVIEW","NO PHOTOS","92.5 Pure Silver Gold-Plated Minimalist Pendant Set with Classic White CZ Halo","Womens / PENDENT SET","3300","/product/8gSxrmJjqnLQfpu2n7SV","","8gSxrmJjqnLQfpu2n7SV"
"REVIEW","NO PHOTOS","92.5 Sterling Silver Rose Gold Bow Charm Necklace Set","Womens / Rose Gold Necklace","21000","/product/YW1Cwn2T7Ej9HT1onEOs","","YW1Cwn2T7Ej9HT1onEOs"
"REVIEW","NO PHOTOS","Elegant Asymmetric Peach Floral CZ Silver Mesh Choker SetElegant Asymmetric Peach Floral CZ Silver Mesh Choker Set","Womens / stone necklace","30000","/product/msZctqmOy3lvQKPN9Gwv","","msZctqmOy3lvQKPN9Gwv"
"REVIEW","NO PHOTOS","Royal Antique Silver Gold Polish Continuous Seated Lakshmi Haram with Emerald & Ruby Kemp.","Womens / Temple Haram","32399.99","/product/lmJm9ynZfGnQreGXDpFW","","lmJm9ynZfGnQreGXDpFW"
"REVIEW","NO PHOTOS","Antique Style 92.5 Pure Silver Gold-Plated Necklace with Kemp Stones","Womens / temple necklace","22800","/product/ae2sTb1l4G1mgL0pCzkh","","ae2sTb1l4G1mgL0pCzkh"
"REVIEW","NO PHOTOS","Classic Lakshmi Motif Silver Gold Polish Festive Necklace","Womens / temple necklace","44500","/product/YUfX0pVZ6HJHOldMQaX3","","YUfX0pVZ6HJHOldMQaX3"
"REVIEW","NO PHOTOS","Classic Motif Silver Gold Polish Festive Necklace","Womens / temple necklace","20825","/product/zrCnmXXqjHhBCKafIi8q","","zrCnmXXqjHhBCKafIi8q"
"REVIEW","NO PHOTOS","Majestic Nakshi Peacock Silver Antique Necklace with Ruby Drops","Womens / temple necklace","70000","/product/EtfYCzD6TDi9imxtV2b3","","EtfYCzD6TDi9imxtV2b3"
"REVIEW","NO PHOTOS","Royal Floral CZ and Ruby Silver Choker with Gold Bead Drops","Womens / temple necklace","40700","/product/NaklyYp3hphy71a4rQS2","","NaklyYp3hphy71a4rQS2"
"REVIEW","NO PHOTOS","Royal Lakshmi CZ Bridal Silver Necklace with Ruby Pink Beads","Womens / temple necklace","43000","/product/LKyzxFIZ2i8U7YM4j10T","","LKyzxFIZ2i8U7YM4j10T"
"REVIEW","NO PHOTOS","Royal Peacock Motif Antique Silver Necklace with Gold Bead Drops","Womens / temple necklace","42000","/product/i6gElNmGSz05J8vaVNJZ","","i6gElNmGSz05J8vaVNJZ"
"REVIEW","NO PHOTOS","Statement Floral and Textured Gold Ball Silver Festive Necklace","Womens / temple necklace","70600","/product/24yQiux3OlOU0AcaI3cM","","24yQiux3OlOU0AcaI3cM"
"REVIEW","CHECK - low-confidence guess","92.5 Pure Sterling Silver Premium Belt Bracelet with Sparkling CZ Stones for Men","Mens / bands","21300","/product/LFuzY6Y41DHMhYnVugKj","ss/g bracelet/G_Bracelet_Product_13","LFuzY6Y41DHMhYnVugKj"
"REVIEW","CHECK - low-confidence guess","92.5 Sterling Silver Multi-Tone Luxury Link Bracelet with Stone Accents","Mens / bracelets","20250","/product/Bww3yPesX2lJShSvlnyw","ss/g bracelet/G_Bracelet_Product_16","Bww3yPesX2lJShSvlnyw"
"REVIEW","CHECK - low-confidence guess","92.5 Pure Silver Gold-Plated Designer Link Chain with Fine Filigree Detailing","Mens / chains","14700","/product/PuXqbnSXU5DLLYIdsOSf","ss/g chains/G_Chain_Product_20","PuXqbnSXU5DLLYIdsOSf"
"REVIEW","CHECK - low-confidence guess","92.5 Pure Silver Gold-Plated Designer Link Chain with Precision Star Cutouts","Mens / chains","16500","/product/3yYwF9Wqc7HXPlEw3MZ9","ss/g chains/G_Chain_Product_13","3yYwF9Wqc7HXPlEw3MZ9"
"REVIEW","CHECK - low-confidence guess","Imperial Stone Cluster 92.5 Sterling Silver Statement Ring","Mens / rings","2600","/product/bA6mG3R6cQn4o6noCN2V","ss/gents rings/Gents_Ring_Product_16","bA6mG3R6cQn4o6noCN2V"
"REVIEW","CHECK - low-confidence guess","92.5 Pure Sterling Silver Contemporary Textured Bead Payal Pair","Womens / anklets","8000","/product/pP87FoSAC2cdh6jnOhgR","ss/anklets/Anklet_Product_25","pP87FoSAC2cdh6jnOhgR"
"REVIEW","CHECK - low-confidence guess","Antique Gold-Plated Lakshmi & Kalash Temple Bangles with Ruby Kemp Stone","Womens / BANGLES","24050","/product/q6Ks5wU0zbYGzPOcowzi","ss/bangles/Bangle_Product_33","q6Ks5wU0zbYGzPOcowzi"
"REVIEW","CHECK - low-confidence guess","Handcrafted 92.5 Sterling Silver Geometric Emerald Glass & White Stone Bangles","Womens / BANGLES","11200","/product/UMdEEnw4p7Isc56Kfz8n","ss/bangles/Bangle_Product_26","UMdEEnw4p7Isc56Kfz8n"
"REVIEW","CHECK - low-confidence guess","Handcrafted 92.5 Sterling Silver Gold Polish Divine Peacock Kemp Bangle Set","Womens / BANGLES","22700","/product/dpzTtJHVSxhlRFpB7FKh","ss/bangles/Bangle_Product_27","dpzTtJHVSxhlRFpB7FKh"
"REVIEW","CHECK - low-confidence guess","92.5 Pure Silver Black Beads Mangalsutra for Women | Gold Finish Pearl Bead Designer Daily Wear Mangalsutra","Womens / black beads","3600","/product/t1BRbgyTmjWjd21Z8ONM","mangalsutra/Mangalsutra_036","t1BRbgyTmjWjd21Z8ONM"
"REVIEW","CHECK - low-confidence guess","92.5 Pure Silver Black Beads Mangalsutra for Women | Traditional Gold Finish Designer","Womens / black beads","3600","/product/OLSxc7UvWlTsV2GGtRZR","mangalsutra/Mangalsutra_005","OLSxc7UvWlTsV2GGtRZR"
"REVIEW","CHECK - low-confidence guess","Shimmering Pear-Cut Charm Black Beads 92.5 Pure Silver gold polish Festive Necklace","Womens / black beads","5400","/product/1Yn0HB9VuvQ4MEKm08tc","mangalsutra/Mangalsutra_031","1Yn0HB9VuvQ4MEKm08tc"
"REVIEW","CHECK - low-confidence guess","92.5 Sterling Silver Rose Gold Plated Micro-Pave  heart Bracelet","Womens / bracelets","6400","/product/WecLaCQSIGqHzvFAZU0n","ss/l bracelets/L_Bracelet_Product_11","WecLaCQSIGqHzvFAZU0n"
"REVIEW","CHECK - low-confidence guess","92.5 Pure Silver Premium Braided Charm Chain Necklace for Women","Womens / chains","6000","/product/GNa71Sgl4UdlbYRz5PjN","ss/g chains/G_Chain_Product_21_High-Finish Woven Foxtail Franco 92.5 Sterling Silver Luxury Chain","GNa71Sgl4UdlbYRz5PjN"
"REVIEW","CHECK - low-confidence guess","92.5 Sterling Silver Rose Gold Plated White Enamel Flower Bracelet","Womens / chains","2200","/product/r61se06vMvKvqeB8pRUY","ss/charm chains/Charm_Chain_Product_04","r61se06vMvKvqeB8pRUY"
"REVIEW","CHECK - low-confidence guess","92.5 Pure Silver Gold-Plated Lakshmi Chandelier Drops with Ruby Kemp and CZ Borders","Womens / earrings","6000","/product/lZIHRinNQbq0VIH4kMxg","ss/earrings/Earring_112","lZIHRinNQbq0VIH4kMxg"
"REVIEW","CHECK - low-confidence guess","Blooming Cross Multi-Gold Polish Textured 925 Silver Statement Ring","Womens / Rings","5300","/product/Xoe0kZIhkQlHWnz0TjW0","ladies rings/Ring_013","Xoe0kZIhkQlHWnz0TjW0"
"REVIEW","CHECK - low-confidence guess","Imperial Grace Oval Cut American Diamond Broad Band 925 Silver Statement Ring","Womens / Rings","3000","/product/B37hy2F8QzSks9uguah9","ladies rings/Ring_075","B37hy2F8QzSks9uguah9"
"REVIEW","CHECK - low-confidence guess","Modern Geometric 92.5 Sterling Silver Men's Band Ring with Baguette Accents","Womens / Rose Gold Necklace","14250","/product/Pai6Vh0lnap3E2MjpuCN","ss/gents rings/Gents_Ring_Product_06","Pai6Vh0lnap3E2MjpuCN"
"REVIEW","CHECK - low-confidence guess","Grand Divine Lakshmi Ghungroo Drop Silver Gold-Plated Long Haram","Womens / Temple Haram","51900","/product/ftQTppP9CuJpfkWkX3Zd","temple necklaces/Necklace_050","ftQTppP9CuJpfkWkX3Zd"
"REVIEW","CHECK - low-confidence guess","Royal Gajra 92.5 Silver Ethnic Luxury Jewelry Watch – Rose Gold Finish","Womens / watches","10000","/product/efIWeTAw2U4Qo7QeIwj2","watches/Watch_014_92.5 Sterling Silver Antique Temple-Style Watch with Seafoam Green Dial","efIWeTAw2U4Qo7QeIwj2"
"REVIEW","CHECK - copied from same-named sibling piece","Enchanted Garden Multi-Color Rose & CZ Silver Necklace Set","Womens / Necklace","10900","/product/gP2X7tntPb0KlEgJoS6p","(copied from ssYmzQoAfGqOUVE3JGS1)","gP2X7tntPb0KlEgJoS6p"
"REVIEW","CHECK - copied from same-named sibling piece","Electroforming light weight Royal Lakshmi Motif Silver Kante","Womens / temple necklace","36300","/product/bmieO3gpCi3eV388z5wr","(copied from mbl2n1SDRqWagokhKQch)","bmieO3gpCi3eV388z5wr"
"REVIEW","CHECK - copied from same-named sibling piece","Royal Lakshmi Motif Silver necklace with Coral Red Accents","Womens / temple necklace","25200","/product/i0AWrY08DxfSSflihOzG","(copied from 9hpHEkQX9at6Us2ZviGe)","i0AWrY08DxfSSflihOzG"
"REVIEW","CHECK - medium-confidence visual match","92.5 Pure Silver Diamond-Cut Designer Belt Band Bracelet with Gold Accents","Mens / bands","11700","/product/gFbByc3HdKM6z15Dh65H","ss/g bracelet/G_Bracelet_Product_12","gFbByc3HdKM6z15Dh65H"
"REVIEW","CHECK - medium-confidence visual match","92.5 Pure Silver Rose Gold Designer Belt Band Bracelet for Men | Premium CZ Stone Bracelet","Mens / bands","2800","/product/Ot9CfQvfRgxIhFsMy5D7","ss/g bracelet/G_Bracelet_Product_14","Ot9CfQvfRgxIhFsMy5D7"
"REVIEW","CHECK - medium-confidence visual match","92.5 Pure Sterling Silver Black Stone Belt Bracelet for Men","Mens / bands","21200","/product/LfEAOw721KohPVJCjXR6","ss/g bracelet/G_Bracelet_Product_08","LfEAOw721KohPVJCjXR6"
"REVIEW","CHECK - medium-confidence visual match","Shimmering Marquise Leaf Branch 92.5 Pure Silver Ear Cuffs","Mens / bands","4500","/product/Hbt8Rw6FAsxt6LgI6qn0","ss/kaan/Kaan_Product_11_S-Curve Shimmering Vine 92.5 Sterling Silver Gold-Plated Kaans","Hbt8Rw6FAsxt6LgI6qn0"
"REVIEW","CHECK - medium-confidence visual match","92.5 Sterling Silver Dual-Tone Men's Link Bracelet with Gold Accents","Mens / bracelets","15200","/product/bkNJWiKNEsdUIutaBBnI","ss/g bracelet/G_Bracelet_Product_15","bkNJWiKNEsdUIutaBBnI"
"REVIEW","CHECK - medium-confidence visual match","92.5 Sterling Silver Leaping Jaguar ID Link Bracelet with Stone Borders","Mens / bracelets","15600","/product/K8RFg3XIAaRnzYvydQWb","ss/g bracelet/G_Bracelet_Product_23","K8RFg3XIAaRnzYvydQWb"
"REVIEW","CHECK - medium-confidence visual match","92.5 Sterling Silver Men's Jubilee Watch-Link Bracelet","Mens / bracelets","14500","/product/ZOeQOPQ51t7hSe9tlCAU","ss/g bracelet/G_Bracelet_Product_26","ZOeQOPQ51t7hSe9tlCAU"
"REVIEW","CHECK - medium-confidence visual match","92.5 Sterling Silver Multi-Tone Men's Link Bracelet","Mens / bracelets","14000","/product/vaiaBoJh5GxVmmKhIdK5","ss/g bracelet/G_Bracelet_Product_27","vaiaBoJh5GxVmmKhIdK5"
"REVIEW","CHECK - medium-confidence visual match","92.5 Sterling Silver Multi-Tone Men's Link Bracelet – Textured Gold & Silver Mesh","Mens / bracelets","18300","/product/beCYpD1XQ717qOOSeS15","ss/g bracelet/G_Bracelet_Product_24","beCYpD1XQ717qOOSeS15"
"REVIEW","CHECK - medium-confidence visual match","Premium 925 Pure Silver Gold-Plated & Diamond-Cut CZ Luxury Gents Bracelet","Mens / bracelets","17350","/product/5jjd0xhr3HPMxMLcnbxM","ss/g bracelet/G_Bracelet_Product_17","5jjd0xhr3HPMxMLcnbxM"
"REVIEW","CHECK - medium-confidence visual match","92.5 Pure Sterling Silver Precision Diamond-Cut Neck Chain with Premium Rhodium Finish","Mens / chains","18000","/product/DgAejGOb5quqCQ7VRqWa","ss/g chains/G_Chain_Product_08_92.5 Pure Sterling Silver Woven Rope Chain with Interspersed Accent Beads and Rhodium Finish","DgAejGOb5quqCQ7VRqWa"
"REVIEW","CHECK - medium-confidence visual match","92.5 Pure Sterling Silver Precision Diamond-Cut Neck Chain with Premium Rhodium Finish","Mens / chains","9500","/product/zMUdLOdJrTApXWNDSMRf","ss/g chains/G_Chain_Product_07_Shimmering Faceted Micro-Bead 92.5 Pure Silver Unisex Neck Chain","zMUdLOdJrTApXWNDSMRf"
"REVIEW","CHECK - medium-confidence visual match","92.5 Sterling Silver Ring with Black Enamel Inlay","Mens / rings","2200","/product/u1XftQ9xg2hL1OMGrGLo","ss/gents rings/Gents_Ring_Product_11","u1XftQ9xg2hL1OMGrGLo"
"REVIEW","CHECK - medium-confidence visual match","Gold-Plated 92.5 Sterling Silver Men's Solitaire Signet Ring","Mens / rings","3300","/product/6TkPvcyi6gEVK9vmVc65","ss/gents rings/Gents_Ring_Product_04","6TkPvcyi6gEVK9vmVc65"
"REVIEW","CHECK - medium-confidence visual match","Gold-Plated 92.5 Sterling Silver Men's Solitaire Signet Ring","Mens / rings","2600","/product/yfndBG264ML4pGHV1c5h","ss/gents rings/Gents_Ring_Product_04","yfndBG264ML4pGHV1c5h"
"REVIEW","CHECK - medium-confidence visual match","Imperial Stone Cluster 92.5 Sterling Silver Statement Ring","Mens / rings","2600","/product/AJJBa6yVKPm4yI5FMFiy","ss/gents rings/Gents_Ring_Product_01","AJJBa6yVKPm4yI5FMFiy"
"REVIEW","CHECK - medium-confidence visual match","Timeless Three-Stone 92.5 Sterling Silver Gold-Plated Ring","Mens / rings","3400","/product/HuMlz7yeChCD5TEefoMd","ss/gents rings/Gents_Ring_Product_13","HuMlz7yeChCD5TEefoMd"
"REVIEW","CHECK - medium-confidence visual match","92.5 Pure Silver Vibrant Heart Drop Payal Pair with Pink & Green Accents","Womens / anklets","16000","/product/QRyfXuwwdZsDKWum6NBp","ss/anklets/Anklet_Product_05","QRyfXuwwdZsDKWum6NBp"
"REVIEW","CHECK - medium-confidence visual match","92.5 Pure Sterling Silver Mixed Motif Payal Pair featuring Butterfly, Floral, & Leaf Beads","Womens / anklets","19600","/product/7Eok62JuO2CWwU1nYf7Y","ss/anklets/Anklet_Product_13","7Eok62JuO2CWwU1nYf7Y"
"REVIEW","CHECK - medium-confidence visual match","Authentic 92.5 Pure Silver Traditional Layered Step Anklets Set","Womens / anklets","6900","/product/3DXUzTZhnqOkZ8PT9xBi","ss/anklets/Anklet_Product_04","3DXUzTZhnqOkZ8PT9xBi"
"REVIEW","CHECK - medium-confidence visual match","Premium 92.5 Pure Silver Dainty Abstract Statement Anklet Set","Womens / anklets","7000","/product/7TWRHh28pAbHUHAGqLL8","ss/anklets/Anklet_Product_37","7TWRHh28pAbHUHAGqLL8"
"REVIEW","CHECK - medium-confidence visual match","Premium 92.5 Pure Silver Dainty Charm Anklet Set","Womens / anklets","7300","/product/LymSDftWflj1CHEfQ395","ss/anklets/Anklet_Product_36","LymSDftWflj1CHEfQ395"
"REVIEW","CHECK - medium-confidence visual match","Premium 92.5 Pure Silver Dainty Geometric Charm Anklet Set","Womens / anklets","7600","/product/RdDPMHEYWexhCAmPCc0x","ss/anklets/Anklet_Product_30","RdDPMHEYWexhCAmPCc0x"
"REVIEW","CHECK - medium-confidence visual match","Premium 92.5 Pure Silver Dainty Patterned Bead Anklet Set","Womens / anklets","24000","/product/lWWZyhJkt0m7JvnszGUU","ss/anklets/Anklet_Product_35","lWWZyhJkt0m7JvnszGUU"
"REVIEW","CHECK - medium-confidence visual match","Premium 92.5 Pure Silver Rose Gold Plated Box Chain Anklets Set","Womens / anklets","28100","/product/ReOwSODXeWljcR4WvzAV","ss/anklets/Anklet_Product_29","ReOwSODXeWljcR4WvzAV"
"REVIEW","CHECK - medium-confidence visual match","Sree Rastu Silvers 92.5 Pure Silver Floral CZ Payal / Bridal Anklets","Womens / anklets","12150","/product/gHjG5OmjEK7aWiGKFCxE","ss/anklets/Anklet_Product_26","gHjG5OmjEK7aWiGKFCxE"
"REVIEW","CHECK - medium-confidence visual match","Two-Tone Rose Gold polish 92.5 Pure Sterling Silver Geometric Clover & Disc Payal Pair","Womens / anklets","7300","/product/iZQfs3N1IkG71vOclT7E","ss/anklets/Anklet_Product_24","iZQfs3N1IkG71vOclT7E"
"REVIEW","CHECK - medium-confidence visual match","92.5 Pure Silver Floral purple and CZ Designer Cuff Band Bracelet","Womens / bands","3000","/product/wlYcylH0M5rwvc1F1Xrz","ss/l bracelets/L_Bracelet_Product_03_92.5 Pure Silver Rose Gold Geometric CZ Designer Cuff Band Bracelet","wlYcylH0M5rwvc1F1Xrz"
"REVIEW","CHECK - medium-confidence visual match","92.5 Pure Silver Gold Polish Antique Designer bangles | Intricate Floral & Beaded Work Bangle","Womens / BANGLES","26199.96","/product/j6Kys8vDWozZYXK4T9Gx","ss/bangles/Bangle_Product_13","j6Kys8vDWozZYXK4T9Gx"
"REVIEW","CHECK - medium-confidence visual match","92.5 Pure Silver Gold-Plated Royal Ruby Floral Bangles","Womens / BANGLES","19200","/product/v2Aifc0YDAAIh96inghn","ss/bangles/Bangle_Product_19","v2Aifc0YDAAIh96inghn"
"REVIEW","CHECK - medium-confidence visual match","Antique Gold-Plated Botanical Leaf Filigree Bangles with Ruby Kemp Accents","Womens / BANGLES","23650","/product/0nwNyEDUk8k1Bx5QswkO","ss/bangles/Bangle_Product_11","0nwNyEDUk8k1Bx5QswkO"
"REVIEW","CHECK - medium-confidence visual match","92.5 Pure Silver Black Beads Mangalsutra Necklace for Women | Elegant CZ Designer Daily Wear Mangalsutra","Womens / black beads","5600","/product/IMtSbRKG4E5FtPiqT1to","mangalsutra/Mangalsutra_055","IMtSbRKG4E5FtPiqT1to"
"REVIEW","CHECK - medium-confidence visual match","92.5 Pure Silver Gold-Plated Mangalsutra Necklace with Textured Metal Beads","Womens / black beads","3700","/product/ZNqeJybHKFYfGWCJTOff","mangalsutra/Mangalsutra_044","ZNqeJybHKFYfGWCJTOff"
"REVIEW","CHECK - medium-confidence visual match","92.5 Pure Sterling Silver Gold-Plated Mangalsutra with Curved Crystal Circle Pendant","Womens / black beads","4000","/product/KYRfOFCupRf6iSHKBBPy","mangalsutra/Mangalsutra_033","KYRfOFCupRf6iSHKBBPy"
"REVIEW","CHECK - medium-confidence visual match","92.5 Sterling Silver Rose Gold Plated Paisley Solitaire Bracelet","Womens / bracelets","6750","/product/QNaFT40MqAUkUpY35RKd","ss/l bracelets/L_Bracelet_Product_12","QNaFT40MqAUkUpY35RKd"
